ID,AdminCode,RoadRank,RoadType,RoadNo,LinkType,MaxSpeed,LaneNo,R_LinkID,L_LinkID,FromNodeID,ToNodeID,SectionID,Length,ITSLinkID,Maker,UpdateDate,Version,Remark,HistType,HistRemark
A219BS010073,"233","9","1",,"6","0","1",,,A119BS010208,A119BS010147,,257.31,,새한항업컨소시엄,"20180430","2019",,,
A219BS010074,"233","9","1",,"6","0","2",,A219BS010095,A119BS010278,A119BS010150,,70.99,,새한항업컨소시엄,"20180430","2019",,,
A219BS010075,"233","9","1",,"6","0","1",A219BS010096,,A119BS010217,A119BS010286,,21.74,,새한항업컨소시엄,"20181129","2019",,,
A219BS010076,"233","9","1",,"6","0","2",,A219BS010084,A119BS010219,A119BS010152,,68.99,,새한항업컨소시엄,"20180430","2019",,,
A219BS010077,"233","9","1",,"6","60","1",A219BS010097,,A119BS010224,A119BS010153,,17.25,,새한항업컨소시엄,"20181129","2019",,,
A219BS010078,"233","9","1",,"6","60","1",A219BS010423,,A119BS010225,A119BS010288,,14.16,,새한항업컨소시엄,"20180430","2019",,,
A219BS010084,"233","9","1",,"6","0","1",A219BS010076,,A119BS010267,A119BS010218,,68.97,,새한항업컨소시엄,"20180430","2019",,,
A219BS010085,"233","9","1",,"6","0","1",A219BS010089,,A119BS010268,A119BS010185,,3.79,,새한항업컨소시엄,"20180430","2019",,,
A219BS010086,"233","9","1",,"6","0","1",A219BS010087,,A119BS010269,A119BS010268,,65.23,,새한항업컨소시엄,"20180430","2019",,,
A219BS010087,"233","9","1",,"6","0","2",,A219BS010086,A119BS010270,A119BS010272,,64.91,,새한항업컨소시엄,"20180430","2019",,,
A219BS010088,"233","9","1",,"6","0","1",,,A119BS010271,A119BS010217,,6.14,,새한항업컨소시엄,"20180430","2019",,,
A219BS010090,"233","9","1",,"6","0","1",A219BS010092,,A119BS010273,A119BS010186,,3.77,,새한항업컨소시엄,"20181129","2019",,,
A219BS010091,"233","9","1",,"6","0","1",,,A119BS010274,A119BS010277,,7.35,,새한항업컨소시엄,"20180430","2019",,,
A219BS010093,"233","9","1",,"6","0","2",,A219BS010094,A119BS010276,A119BS010210,,65.77,,새한항업컨소시엄,"20180430","2019",,,
A219BS010094,"233","9","1",,"6","0","1",A219BS010093,,A119BS010277,A119BS010210,,65.75,,새한항업컨소시엄,"20180430","2019",,,
A219BS010095,"233","9","1",,"6","0","1",A219BS010074,,A119BS010278,A119BS010188,,70.87,,새한항업컨소시엄,"20180430","2019",,,
A219BS010096,"233","9","1",,"6","0","2",,A219BS010075,A119BS010285,A119BS010279,,21.73,,새한항업컨소시엄,"20181129","2019",,,
A219BS010097,"233","9","1",,"6","60","2",,A219BS010077,A119BS010287,A119BS010190,,17.32,,새한항업컨소시엄,"20181129","2019",,,
A219BS010098,"233","9","1",,"6","0","1",,,A119BS010295,A119BS010297,,27.21,,새한항업컨소시엄,"20180430","2019",,,
A219BS010099,"233","9","1",,"6","0","2",,A219BS010100,A119BS010296,A119BS010213,,17.66,,새한항업컨소시엄,"20180430","2019",,,
A219BS010100,"233","9","1",,"6","0","1",A219BS010099,,A119BS010297,A119BS010214,,17.61,,새한항업컨소시엄,"20180430","2019",,,
A219BS010377,"233","9","1",,"6","0","1",,,A119BS010249,A119BS010332,,123.60,,새한항업컨소시엄,"20181128","2019",,,
A219BS010380,"233","9","1",,"6","0","1",,,A119BS010184,A119BS010176,,131.63,,새한항업컨소시엄,"20181128","2019",,,
A219BS010381,"233","9","1",,"6","0","1",,,A119BS010244,A119BS010171,,29.41,,새한항업컨소시엄,"20181129","2019",,,
A219BS010382,"233","9","1",,"6","0","1",,,A119BS010245,A119BS010172,,29.39,,새한항업컨소시엄,"20181129","2019",,,
A219BS010383,"233","9","1",,"6","0","1",,,A119BS010239,A119BS010166,,32.80,,새한항업컨소시엄,"20181129","2019",,,
A219BS010384,"233","9","1",,"6","0","1",,,A119BS010238,A119BS010165,,32.88,,새한항업컨소시엄,"20181129","2019",,,
A219BS010385,"233","9","1",,"6","0","1",,,A119BS010242,A119BS010169,,74.63,,새한항업컨소시엄,"20181129","2019",,,
A219BS010386,"233","9","1",,"6","0","1",,,A119BS010243,A119BS010170,,80.04,,새한항업컨소시엄,"20181129","2019",,,
A219BS010387,"233","9","1",,"6","0","1",,,A119BS010232,A119BS010159,,74.30,,새한항업컨소시엄,"20181129","2019",,,
A219BS010388,"233","9","1",,"6","0","1",,,A119BS010233,A119BS010160,,79.90,,새한항업컨소시엄,"20181129","2019",,,
A219BS010389,"233","9","1",,"6","0","1",,,A119BS010234,A119BS010161,,31.13,,새한항업컨소시엄,"20181129","2019",,,
A219BS010390,"233","9","1",,"6","0","1",,,A119BS010235,A119BS010162,,31.09,,새한항업컨소시엄,"20181129","2019",,,
A219BS010391,"233","9","1",,"6","0","1",,,A119BS010240,A119BS010167,A319BS010001,31.08,,새한항업컨소시엄,"20181129","2019",,,
A219BS010392,"233","9","1",,"6","0","1",,,A119BS010241,A119BS010168,A319BS010003,31.07,,새한항업컨소시엄,"20181129","2019",,,
A219BS010393,"233","9","1",,"6","0","1",,,A119BS010237,A119BS010164,,81.42,,새한항업컨소시엄,"20181129","2019",,,
A219BS010394,"233","9","1",,"6","0","1",,,A119BS010236,A119BS010163,,67.19,,새한항업컨소시엄,"20181129","2019",,,
A219BS010395,"233","9","1",,"6","0","1",,,A119BS010694,A119BS010174,A319BS010006,25.55,,새한항업컨소시엄,"20181129","2019",,,
