X,Y
302435.668,4123658.146
302436.0969293,4123660.09923231
302436.526494736,4123662.0525559997
302436.955802624,4123664.00593633
302437.497715628,4123665.93078744
302438.081080002,4123667.8422083
302438.842782311,4123669.69148102
302439.5962478,4123671.54409436
302440.337874978,4123673.4015089995
302441.18708479,4123675.21191874
302442.045959706,4123677.01811193
302442.904605695,4123678.82441397
302443.779952321,4123680.6226736
302444.655855713,4123682.42067061
302445.531989181,4123684.21855552
302446.446508053,4123685.99692603
302447.384131909,4123687.76352205
302448.322481765,4123689.52973254
302449.262784908,4123691.29490211
302450.205780781,4123693.05863644
302451.14886742,4123694.82232224
302452.115454924,4123696.57320636
302453.085277414,4123698.32233309
302454.05531081697,4123700.07134287
302455.065616909,4123701.79713116
302456.072027018,4123703.52546477
302457.040283039,4123705.27514379
302458.016795837,4123707.02048215
302458.998360505,4123708.76293806
302459.964423595,4123710.51404236
302460.93483269896,4123712.262646
302461.91720435896,4123714.00474944
302462.900993698,4123715.74604651
302463.863498495,4123717.49899051
302464.823084648,4123719.25330138
302465.78628774104,4123721.00607755
302466.75138484396,4123722.75781571
302467.71792818396,4123724.50873111
302468.68749522197,4123726.25798184
302469.65529579896,4123728.0082059
302470.628448497,4123729.75547983
302471.596399654,4123731.50564022
302472.57034333696,4123733.25245372
302473.53911132197,4123735.00216407
302474.509699298,4123736.75086155
302475.475774182,4123738.50205868
302476.444562374,4123740.25175832
302477.417012579,4123741.99941867
302478.388330086,4123743.74767115
302479.353427835,4123745.49940191
302480.31766759604,4123747.25140818
302481.29714787303,4123748.99509626
302482.26496887,4123750.74524482
302483.239240955,4123752.4916451005
302484.199301974,4123754.24610251
302485.16990782303,4123755.99478856
302486.144205601,4123757.7414011
302487.106788317,4123759.49450488
302488.072568816,4123761.2458236
302489.048475258,4123762.99135039
302490.018750928,4123764.74022416
302490.988863861,4123766.48918651
302491.953486052,4123768.24107397
302492.929407675,4123769.9866846
302493.893874814,4123771.73873989
302494.868230535,4123773.48511702
302495.86342408,4123775.21991627
302496.871058305,4123776.94642789
302497.845009105,4123778.69319422
302497.947,4123778.872
302498.918301098,4123780.62028084
302499.890043192,4123782.36834179
302500.862174786,4123784.11618623
302501.83351737,4123785.86446926
302502.805004493,4123787.61267198
302503.776627063,4123789.36079943
302504.747969648,4123791.10908247
302505.719575645,4123792.85721911
302506.691424269,4123794.6052209
302507.66305054,4123796.35334629
302508.63454482896,4123798.10154503
302509.066,4123798.878
302510.002992553,4123800.64450399
302510.94431564,4123802.40887167
302511.913944398,4123804.15810419
302512.88333120104,4123805.90747161
302513.852839272,4123807.65677152
302514.822361137,4123809.40606402
302515.79184122104,4123811.15531565
302516.761165658,4123812.90471815
302517.730620684,4123814.65404824
302518.70109657396,4123816.40281057
302518.757,4123816.503
302519.728811475,4123818.2509972
302520.700664407,4123819.99899659
302521.672517339,4123821.74699598
302522.64437027,4123823.49499538
302523.616482627,4123825.24285048
302524.58883677,4123826.99057112
302525.560406097,4123828.73872816
302526.532121089,4123830.48680423
302527.503974022,4123832.23480362
302528.47582695197,4123833.98280302
302529.447679884,4123835.73080241
302530.419532815,4123837.4788018
302531.391385746,4123839.2268012003
302532.363506508,4123840.97465163
302533.33585542,4123842.72237517
302534.307708353,4123844.47037457
302535.279561284,4123846.21837396
302536.251410051,4123847.96637567
302536.965,4123849.25
302537.936008418,4123850.99844264
302538.906925981,4123852.74696099
302539.876521194,4123854.49621369
302540.846970756,4123856.24499227
302541.817451809,4123857.99375313
302542.787961988,4123859.74249776
302543.75789730396,4123861.49155985
302544.729008762,4123863.23997007
302545.585,4123864.796
302546.571169669,4123866.53593679
302547.557380757,4123868.27587578
302548.543591846,4123870.01581477
302549.529802934,4123871.75575376
302550.516014023,4123873.49569275
302551.502240156,4123875.23562321
302552.488958191,4123876.97527476
302553.475404073,4123878.71508062
302554.46161516104,4123880.45501961
302555.447826249,4123882.1949585997
302556.434195938,4123883.93480768
302557.42067739397,4123885.67459339
302558.406888482,4123887.41453238
302559.24199999997,4123888.8880000003
302560.213420954,4123890.63621429
302561.185014223,4123892.38435802
302562.15494101803,4123894.13341775
302563.110961868,4123895.89012607
302564.067225845,4123897.64670206
302565.034526619,4123899.39719635
302566.00837837,4123901.14408289
302566.980586314,4123902.89188392
302567.950649314,4123904.64087726
302568.90048024396,4123906.40081805
302569.827,4123908.1569999997
302570.759827852,4123909.92610916
302571.685346428,4123911.69903665
302572.595490004,4123913.47994615
302573.50252260396,4123915.26244204
302574.40834515,4123917.04555273
302575.312935343,4123918.82928942
302576.20339022,4123920.62003811
302577.07692023896,4123922.41918938
302577.942664631,4123924.22209926
302578.80592605803,4123926.02619876
302579.66120523,4123927.83409638
302580.51001450303,4123929.64502363
302581.349109307,4123931.46049039
302582.185309901,4123933.27729188
302582.997667832,4123935.10482656
302583.794769243,4123936.93906239
